label,location,gender,study
5MDALARGE,L_Intestine,M,Dose_Acute
1FDASMALL,Sm_Intestine,F,Dose_Acute
2FDASMALL,Sm_Intestine,F,Dose_Acute
3FDASMALL,Sm_Intestine,F,Dose_Acute
4FDASMALL,Sm_Intestine,F,Dose_Acute
5FDASMALL,Sm_Intestine,F,Dose_Acute
1FDALARGE,L_Intestine,F,Dose_Acute
2FDALARGE,L_Intestine,F,Dose_Acute
3FDALARGE,L_Intestine,F,Dose_Acute
4FDALARGE,L_Intestine,F,Dose_Acute
1MDASMALL,Sm_Intestine,M,Dose_Acute
5FDALARGE,L_Intestine,F,Dose_Acute
1MCASMALL,Sm_Intestine,M,Con_Acute
2MCASMALL,Sm_Intestine,M,Con_Acute
3MCASMALL,Sm_Intestine,M,Con_Acute
4MCASMALL,Sm_Intestine,M,Con_Acute
5MCASMALL,Sm_Intestine,M,Con_Acute
1MCALARGE,L_Intestine,M,Con_Acute
2MCALARGE,L_Intestine,M,Con_Acute
3MCALARGE,L_Intestine,M,Con_Acute
4MCALARGE,L_Intestine,M,Con_Acute
2MDA.SMALL,Sm_Intestine,M,Dose_Acute
1FCASMALL,Sm_Intestine,F,Con_Acute
2FCASMALL,Sm_Intestine,F,Con_Acute
3FCASMALL,Sm_Intestine,F,Con_Acute
4FCASMALL,Sm_Intestine,F,Con_Acute
5FCASMALL,Sm_Intestine,F,Con_Acute
1FCALARGE,L_Intestine,F,Con_Acute
2FCALARGE,L_Intestine,F,Con_Acute
3FCALARGE,L_Intestine,F,Con_Acute
4FCALARGE,L_Intestine,F,Con_Acute
5FCALARGE,L_Intestine,F,Con_Acute
3MDASMALL,Sm_Intestine,M,Dose_Acute
1MDSSMALL,Sm_Intestine,M,Dose_SC
2MDSSMALL,Sm_Intestine,M,Dose_SC
3MDSSMALL,Sm_Intestine,M,Dose_SC
4MDSSMALL,Sm_Intestine,M,Dose_SC
5MDSSMALL,Sm_Intestine,M,Dose_SC
1MDSLARGE,L_Intestine,M,Dose_SC
2MDSLARGE,L_Intestine,M,Dose_SC
3MDSLARGE,L_Intestine,M,Dose_SC
4MDSLARGE,L_Intestine,M,Dose_SC
5MDSLARGE,L_Intestine,M,Dose_SC
4MDASMALL,Sm_Intestine,M,Dose_Acute
1FDSSMALL,Sm_Intestine,F,Dose_SC
2FDSSMALL,Sm_Intestine,F,Dose_SC
3FDSSMALL,Sm_Intestine,F,Dose_SC
4FDSSMALL,Sm_Intestine,F,Dose_SC
5FDSSMALL,Sm_Intestine,F,Dose_SC
1FDSLARGE,L_Intestine,F,Dose_SC
2FDSLARGE,L_Intestine,F,Dose_SC
3FDSLARGE,L_Intestine,F,Dose_SC
4FDSLARGE,L_Intestine,F,Dose_SC
5FDSLARGE,L_Intestine,F,Dose_SC
5MDASMALL,Sm_Intestine,M,Dose_Acute
1MCSSMALL,Sm_Intestine,M,Con_SC
2MCSSMALL,Sm_Intestine,M,Con_SC
3MCSSMALL,Sm_Intestine,M,Con_SC
4MCSSMALL,Sm_Intestine,M,Con_SC
5MCSSMALL,Sm_Intestine,M,Con_SC
1MCSLARGE,L_Intestine,M,Con_SC
2MCSLARGE,L_Intestine,M,Con_SC
3MCSLARGE,L_Intestine,M,Con_SC
4MCSLARGE,L_Intestine,M,Con_SC
5MCSLARGE,L_Intestine,M,Con_SC
1MDALARGE,L_Intestine,M,Dose_Acute
1FCSSMALL,Sm_Intestine,F,Con_SC
3FCSSMALL,Sm_Intestine,F,Con_SC
4FCSSMALL,Sm_Intestine,F,Con_SC
5FCSSMALL,Sm_Intestine,F,Con_SC
1FCSLARGE,L_Intestine,F,Con_SC
3FCSLARGE,L_Intestine,F,Con_SC
4FCSLARGE,L_Intestine,F,Con_SC
5FCSLARGE,L_Intestine,F,Con_SC
2MDALARGE,L_Intestine,M,Dose_Acute
3MDALARGE,L_Intestine,M,Dose_Acute
4MDALARGE,L_Intestine,M,Dose_Acute
